
Livevol Forward Russell 2000 Index,Last: 2012.6172,Change:  4.3172
"Date: February 24, 2024 at 6:29 PM EST",Bid: 0,Ask: 0,Size: 0*0,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri Feb 23 2024,RUTW240223C01080000,0,0,928.6,948,0,0,1,0,0,1080.00,RUTW240223P01080000,0.05,0,0,4.8,0,0,0,0,2
Fri Feb 23 2024,RUTW240223C01085000,0,0,923.6,943,0,0,1,0,0,1085.00,RUTW240223P01085000,0.05,0,0,4.8,0,0,0,0,2
Fri Feb 23 2024,RUTW240223C01090000,0,0,918.6,938,0,0,1,0,0,1090.00,RUTW240223P01090000,0,0,0,4.8,0,0,0,0,0
Fri Feb 23 2024,RUTW240223C01095000,0,0,913.6,933,0,0,1,0,0,1095.00,RUTW240223P01095000,0.03,0.005,0,4.8,2,0,0,0,0
Fri Feb 23 2024,RUTW240223C01100000,0,0,908.6,928,0,0,1,0,0,1100.00,RUTW240223P01100000,0,0,0,4.8,0,0,0,0,0
Fri Feb 23 2024,RUTW240223C01105000,0,0,903.6,923,0,0,1,0,0,1105.00,RUTW240223P01105000,0,0,0,4.8,0,0,0,0,0
Fri Feb 23 2024,RUTW240223C01110000,0,0,898.6,918,0,0,1,0,0,1110.00,RUTW240223P01110000,0,0,0,4.8,0,0,0,0,0
Fri Feb 23 2024,RUTW240223C01115000,0,0,893.6,913,0,0,1,0,0,1115.00,RUTW240223P01115000,0.04,0,0,4.8,0,0,0,0,1
Fri Feb 23 2024,RUTW240223C01120000,0,0,888.6,908,0,0,1,0,0,1120.00,RUTW240223P01120000,0,0,0,4.8,0,0,0,0,0
Fri Feb 23 2024,RUTW240223C01125000,0,0,883.6,903,0,0,1,0,0,1125.00,RUTW240223P01125000,0,0,0,4.8,0,0,0,0,0
Fri Feb 23 2024,RUTW240223C01130000,0,0,878.6,898,0,0,1,0,0,1130.00,RUTW240223P01130000,0,0,0,4.8,0,0,0,0,0
Fri Feb 23 2024,RUTW240223C01135000,0,0,873.6,893,0,0,1,0,0,1135.00,RUTW240223P01135000,0,0,0,4.8,0,0,0,0,0
Fri Feb 23 2024,RUTW240223C01140000,0,0,868.6,888,0,0,1,0,0,1140.00,RUTW240223P01140000,0,0,0,4.8,0,0,0,0,0
Fri Feb 23 2024,RUTW240223C01145000,0,0,863.6,883,0,0,1,0,0,1145.00,RUTW240223P01145000,0,0,0,4.8,0,0,0,0,0
Fri Feb 23 2024,RUTW240223C01150000,0,0,858.6,878,0,0,1,0,0,1150.00,RUTW240223P01150000,0,0,0,4.8,0,0,0,0,0
Fri Feb 23 2024,RUTW240223C01155000,0,0,853.6,873,0,0,1,0,0,1155.00,RUTW240223P01155000,0,0,0,4.8,0,0,0,0,0
Fri Feb 23 2024,RUTW240223C01160000,0,0,848.6,868,0,0,1,0,0,1160.00,RUTW240223P01160000,0,0,0,4.8,0,0,0,0,0
Fri Feb 23 2024,RUTW240223C01165000,0,0,843.6,863,0,0,1,0,0,1165.00,RUTW240223P01165000,0,0,0,4.8,0,0,0,0,0
Fri Feb 23 2024,RUTW240223C01170000,0,0,838.6,858,0,0,1,0,0,1170.00,RUTW240223P01170000,0,0,0,4.8,0,0,0,0,0
Fri Feb 23 2024,RUTW240223C01175000,0,0,833.6,853,0,0,1,0,0,1175.00,RUTW240223P01175000,0,0,0,4.8,0,0,0,0,0
Fri Feb 23 2024,RUTW240223C01180000,0,0,828.6,848,0,0,1,0,0,1180.00,RUTW240223P01180000,0,0,0,4.8,0,0,0,0,0
Fri Feb 23 2024,RUTW240223C01185000,0,0,823.6,843,0,0,1,0,0,1185.00,RUTW240223P01185000,0,0,0,4.8,0,0,0,0,0
Fri Feb 23 2024,RUTW240223C01190000,0,0,818.6,838,0,0,1,0,0,1190.00,RUTW240223P01190000,0,0,0,4.8,0,0,0,0,0
Fri Feb 23 2024,RUTW240223C01195000,0,0,813.6,833,0,0,1,0,0,1195.00,RUTW240223P01195000,0,0,0,4.8,0,0,0,0,0
Fri Feb 23 2024,RUTW240223C01200000,0,0,808.6,828,0,0,1,0,0,1200.00,RUTW240223P01200000,0,0,0,4.8,0,0,0,0,0
Fri Feb 23 2024,RUTW240223C01205000,0,0,803.6,823,0,0,1,0,0,1205.00,RUTW240223P01205000,0,0,0,4.8,0,0,0,0,0
Fri Feb 23 2024,RUTW240223C01210000,0,0,798.6,818,0,0,1,0,0,1210.00,RUTW240223P01210000,0,0,0,4.8,0,0,0,0,0
Fri Feb 23 2024,RUTW240223C01215000,0,0,793.6,813,0,0,1,0,0,1215.00,RUTW240223P01215000,0,0,0,4.8,0,0,0,0,0
Fri Feb 23 2024,RUTW240223C01220000,0,0,788.6,808,0,0,1,0,0,1220.00,RUTW240223P01220000,0,0,0,4.8,0,0,0,0,0
Fri Feb 23 2024,RUTW240223C01225000,0,0,783.6,803,0,0,1,0,0,1225.00,RUTW240223P01225000,0,0,0,4.8,0,0,0,0,0
Fri Feb 23 2024,RUTW240223C01230000,0,0,778.6,798,0,0,1,0,0,1230.00,RUTW240223P01230000,0,0,0,4.8,0,0,0,0,0
Fri Feb 23 2024,RUTW240223C01235000,0,0,773.6,793,0,0,1,0,0,1235.00,RUTW240223P01235000,0.15,0,0,4.8,0,0,0,0,3
Fri Feb 23 2024,RUTW240223C01240000,0,0,768.6,788,0,0,1,0,0,1240.00,RUTW240223P01240000,0,0,0,4.8,0,0,0,0,0
Fri Feb 23 2024,RUTW240223C01245000,0,0,763.6,783,0,0,1,0,0,1245.00,RUTW240223P01245000,0,0,0,4.8,0,0,0,0,0
Fri Feb 23 2024,RUTW240223C01250000,0,0,758.6,778,0,0,1,0,0,1250.00,RUTW240223P01250000,0.35,0,0,4.8,0,0,0,0,3
Fri Feb 23 2024,RUTW240223C01255000,0,0,753.6,773,0,0,1,0,0,1255.00,RUTW240223P01255000,0,0,0,4.8,0,0,0,0,0
Fri Feb 23 2024,RUTW240223C01260000,0,0,748.6,768,0,0,1,0,0,1260.00,RUTW240223P01260000,0.3,0,0,4.8,0,0,0,0,18
Fri Feb 23 2024,RUTW240223C01265000,0,0,743.6,763,0,0,1,0,0,1265.00,RUTW240223P01265000,0,0,0,4.8,0,0,0,0,0
Fri Feb 23 2024,RUTW240223C01270000,0,0,738.6,758,0,0,1,0,0,1270.00,RUTW240223P01270000,0,0,0,4.8,0,0,0,0,0
Fri Feb 23 2024,RUTW240223C01275000,0,0,733.6,753,0,0,1,0,0,1275.00,RUTW240223P01275000,0,0,0,4.8,0,0,0,0,0
Fri Feb 23 2024,RUTW240223C01280000,0,0,728.6,748,0,0,1,0,0,1280.00,RUTW240223P01280000,0,0,0,4.8,0,0,0,0,0
Fri Feb 23 2024,RUTW240223C01285000,0,0,723.6,743,0,0,1,0,0,1285.00,RUTW240223P01285000,0,0,0,4.8,0,0,0,0,0
Fri Feb 23 2024,RUTW240223C01290000,0,0,718.6,738,0,0,1,0,0,1290.00,RUTW240223P01290000,0.25,0,0,4.8,0,0,0,0,6
Fri Feb 23 2024,RUTW240223C01295000,0,0,713.6,733,0,0,1,0,0,1295.00,RUTW240223P01295000,0,0,0,4.8,0,0,0,0,0
Fri Feb 23 2024,RUTW240223C01300000,0,0,708.6,728,0,0,1,0,0,1300.00,RUTW240223P01300000,0,0,0,4.8,0,0,0,0,0
