
S&P 500 INDEX,Last: 5088.7998,Change:  1.7698
"Date: February 25, 2024 at 5:43 PM EST",Bid: 5034.25,Ask: 5139.04,Size: 1*1,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri Mar 01 2024,SPXW240301C05075000,35.3,-8.25,35.7,36.1,201,0.1006,0.589,0.0055,2239,5075.00,SPXW240301P05075000,21.27,-5.45,21.4,21.6,1731,0.1002,-0.4111,0.0055,652
Fri Mar 01 2024,SPXW240301C05080000,38.43,-2.22,32.7,33.1,266,0.1001,0.5616,0.0056,957,5080.00,SPXW240301P05080000,23.4,-5.7,23.4,23.7,573,0.0996,-0.4385,0.0056,104
Fri Mar 01 2024,SPXW240301C05085000,30.5,-7.3,30,30.3,383,0.0994,0.5336,0.0057,346,5085.00,SPXW240301P05085000,25.42,-5.5,25.6,25.9,497,0.0991,-0.4664,0.0057,203
Fri Mar 01 2024,SPXW240301C05090000,28.01,-7.09,27.3,27.6,1734,0.0991,0.5053,0.0057,920,5090.00,SPXW240301P05090000,27.64,-6.01,27.9,28.2,1158,0.0989,-0.4948,0.0057,179
Fri Mar 01 2024,SPXW240301C05095000,24.8,-7.9,24.8,25.1,862,0.0988,0.4768,0.0057,156,5095.00,SPXW240301P05095000,30.15,-5.85,30.4,30.7,822,0.0984,-0.5232,0.0057,36
Fri Mar 01 2024,SPXW240301C05100000,22.9,-7.4,22.5,22.8,2739,0.0984,0.4483,0.0057,2522,5100.00,SPXW240301P05100000,32.6,-6.05,33.1,33.4,2218,0.098,-0.5518,0.0057,199
Mon Mar 04 2024,SPXW240304C05075000,42.15,-4.6,39,39.4,129,0.093,0.5839,0.005,3525,5075.00,SPXW240304P05075000,23.78,-5.87,24.1,24.4,1668,0.093,-0.4158,0.005,257
Mon Mar 04 2024,SPXW240304C05080000,43.01,-0.79,36.1,36.5,219,0.0927,0.5592,0.005,100,5080.00,SPXW240304P05080000,26.05,-5.9,26.1,26.5,66,0.0925,-0.4405,0.005,24
Mon Mar 04 2024,SPXW240304C05085000,38,-3.05,33.3,33.7,112,0.0922,0.5341,0.0051,119,5085.00,SPXW240304P05085000,25.32,-8.58,28.3,28.6,51,0.0923,-0.4657,0.0051,99
Mon Mar 04 2024,SPXW240304C05090000,30.8,-7.7,30.6,31,227,0.0918,0.5087,0.0051,183,5090.00,SPXW240304P05090000,30.35,-5.75,30.6,31,44,0.0919,-0.4911,0.0051,33
Mon Mar 04 2024,SPXW240304C05095000,32.68,-3.07,28.1,28.5,40,0.0917,0.4831,0.0051,47,5095.00,SPXW240304P05095000,32.97,-5.58,33.1,33.4,38,0.0913,-0.5166,0.0051,16
Mon Mar 04 2024,SPXW240304C05100000,25.95,-7.5,25.7,26.1,855,0.0913,0.4575,0.0051,1270,5100.00,SPXW240304P05100000,35.52,-5.63,35.7,36,749,0.0912,-0.5423,0.0051,67
Tue Mar 05 2024,SPXW240305C05075000,55.63,6.08,41.9,42.3,10,0.0959,0.5814,0.0046,435,5075.00,SPXW240305P05075000,25.5,-6.3,26.2,26.6,59,0.0956,-0.4184,0.0046,169
Tue Mar 05 2024,SPXW240305C05080000,44,-2.55,39,39.4,30,0.0956,0.5585,0.0047,75,5080.00,SPXW240305P05080000,25.77,-8.08,28.3,28.6,35,0.0953,-0.4412,0.0047,9
Tue Mar 05 2024,SPXW240305C05085000,39.5,-4.55,36.1,36.5,9,0.095,0.5353,0.0047,75,5085.00,SPXW240305P05085000,27.9,-8,30.4,30.8,51,0.0948,-0.4645,0.0047,3
Tue Mar 05 2024,SPXW240305C05090000,37,-4.4,33.5,33.8,23,0.0947,0.5117,0.0048,84,5090.00,SPXW240305P05090000,29.4,-8.75,32.7,33.1,103,0.0945,-0.488,0.0048,27
Tue Mar 05 2024,SPXW240305C05095000,35.1,-3.35,30.9,31.3,13,0.0945,0.488,0.0048,10,5095.00,SPXW240305P05095000,33.3,-7.35,35.1,35.6,59,0.094,-0.5118,0.0048,23
Tue Mar 05 2024,SPXW240305C05100000,29.18,-6.77,28.5,28.9,1895,0.0941,0.4642,0.0048,1483,5100.00,SPXW240305P05100000,37.47,-5.58,37.7,38.1,836,0.094,-0.5356,0.0048,32
Wed Mar 06 2024,SPXW240306C05075000,63,9.9,45.7,46.1,14,0.1018,0.5762,0.0042,1031,5075.00,SPXW240306P05075000,30.85,-3.85,29.6,29.9,4,0.1017,-0.4236,0.0042,132
Wed Mar 06 2024,SPXW240306C05080000,48.32,-2.18,42.8,43.2,1,0.1012,0.5555,0.0042,48,5080.00,SPXW240306P05080000,28.86,-8.29,31.6,32,2,0.1011,-0.4443,0.0042,18
Wed Mar 06 2024,SPXW240306C05085000,44.18,-3.17,40,40.4,1,0.1007,0.5344,0.0043,62,5085.00,SPXW240306P05085000,30.48,-8.47,33.8,34.2,37,0.1007,-0.4653,0.0043,8
Wed Mar 06 2024,SPXW240306C05090000,41.35,-3.55,37.3,37.7,24,0.1004,0.5132,0.0043,55,5090.00,SPXW240306P05090000,34.25,-7,36.1,36.5,214,0.1004,-0.4866,0.0043,20
Wed Mar 06 2024,SPXW240306C05095000,38.74,-3.56,34.7,35.1,7,0.1,0.4918,0.0043,62,5095.00,SPXW240306P05095000,36.55,-7.05,38.5,38.9,207,0.0998,-0.508,0.0043,5
Wed Mar 06 2024,SPXW240306C05100000,35.55,-3.9,32.2,32.6,370,0.0998,0.4702,0.0043,896,5100.00,SPXW240306P05100000,37.02,-9.03,41.1,41.4,16,0.0996,-0.5295,0.0043,12
Thu Mar 07 2024,SPXW240307C05075000,52.68,-3.52,48.9,49.4,5,0.1037,0.5789,0.0039,462,5075.00,SPXW240307P05075000,27.04,-9.26,31,31.5,29,0.1035,-0.4212,0.0039,113
Thu Mar 07 2024,SPXW240307C05080000,49.8,-3.45,46,46.4,26,0.1034,0.5595,0.004,53,5080.00,SPXW240307P05080000,30.9,-7.3,33,33.5,12,0.103,-0.4406,0.004,24
Thu Mar 07 2024,SPXW240307C05085000,50.5,0.05,43.1,43.6,2,0.1029,0.5398,0.004,13,5085.00,SPXW240307P05085000,33.25,-7.15,35.2,35.7,4,0.1026,-0.4603,0.004,4
