S&P 500 INDEX,Last: 5069.7598,Change:  -8.4202,,,,,,,,,,,,,,,,,,,
"Date: February 28, 2024, 7:52 PM EST",Bid: 4999.8701,Ask: 5107.96,Size: 1*1,Volume: 0,,,,,,,,,,,,,,,,,
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri Mar 01 2024,SPXW240301C01200000,3867.89,-8.51,3859.1,3871.2,4,7.1405,0.9999,0,20,1200,SPXW240301P01200000,0,0,0,0.05,0,5.366,-0.0005,0,0
Fri Mar 01 2024,SPXW240301C01400000,3669.24,0,3659.2,3671.4,0,0,1,0,2,1400,SPXW240301P01400000,0,0,0,0.05,0,4.8008,-0.0001,0,0
Fri Mar 01 2024,SPXW240301C01600000,3374.6,0,3459.3,3464.5,0,5.8658,1,0,19,1600,SPXW240301P01600000,0,0,0,0.05,0,4.3121,-0.0001,0,0
Fri Mar 01 2024,SPXW240301C01800000,3279.9,0,3259.4,3264.6,0,5.197,1,0,4,1800,SPXW240301P01800000,0,0,0,0.05,0,3.8825,0,0,0
Fri Mar 01 2024,SPXW240301C02000000,3087.3,0,3059.5,3064.7,0,4.7496,1,0,9,2000,SPXW240301P02000000,0.05,0,0,0.05,0,3.4982,0,0,61
Fri Mar 01 2024,SPXW240301C02200000,2868.49,-8.7101,2859.6,2864.9,4,4.336,1,0,11,2200,SPXW240301P02200000,0.1,0,0,0.05,0,3.1501,0,0,95
Fri Mar 01 2024,SPXW240301C02400000,2584.7,0,2659.8,2665,0,3.8424,1,0,4,2400,SPXW240301P02400000,0.05,0,0,0.05,0,2.8326,0,0,6
Fri Mar 01 2024,SPXW240301C02600000,2479.15,0,2459.9,2465.1,0,3.5774,1,0,3,2600,SPXW240301P02600000,0.05,0,0,0.05,0,2.5403,0,0,25
Fri Mar 01 2024,SPXW240301C02800000,0,0,2260,2265.2,0,3.2165,1,0,0,2800,SPXW240301P02800000,0.05,0,0,0.05,0,2.2689,0,0,768
Fri Mar 01 2024,SPXW240301C03000000,0,0,2060.1,2065.4,0,2.8477,1,0,0,3000,SPXW240301P03000000,0.05,0,0,0.05,0,2.0159,0,0,69
Fri Mar 01 2024,SPXW240301C03200000,0,0,1860.2,1865.5,0,2.5319,1,0,0,3200,SPXW240301P03200000,0.05,0,0,0.05,0,1.863,-0.0001,0,401
Fri Mar 01 2024,SPXW240301C03300000,0,0,1760.3,1765.5,0,2.4134,1,0,0,3300,SPXW240301P03300000,0.05,0,0,0.05,0,1.7446,-0.0001,0,1155
Fri Mar 01 2024,SPXW240301C03400000,1593.8,0,1660.3,1672.1,0,0,1,0,1,3400,SPXW240301P03400000,0.05,0,0,0.05,0,1.6296,-0.0001,0,4878
Fri Mar 01 2024,SPXW240301C03500000,1481.1,0,1560.4,1571.8,0,2.1025,1,0,1,3500,SPXW240301P03500000,0.05,0,0,0.05,0,1.5174,-0.0001,0,3669
Fri Mar 01 2024,SPXW240301C03600000,1393.4,0,1460.5,1472.7,0,1.9668,1,0,1,3600,SPXW240301P03600000,0.05,0,0,0.05,0,1.4082,-0.0002,0,6534
Fri Mar 01 2024,SPXW240301C03650000,0,0,1410.4,1422.8,0,0,1,0,0,3650,SPXW240301P03650000,0.05,0,0,0.1,0,1.3545,-0.0002,0,2738
Fri Mar 01 2024,SPXW240301C03700000,0,0,1360.3,1372.8,0,1.8206,1,0,0,3700,SPXW240301P03700000,0.05,0,0,0.05,0,1.3015,-0.0002,0,6494
Fri Mar 01 2024,SPXW240301C03750000,1242.8,0,1310.6,1322.8,0,1.7609,1,0,1,3750,SPXW240301P03750000,0.05,0,0,0.05,0,1.2491,-0.0003,0,1006
Fri Mar 01 2024,SPXW240301C03800000,1166.59,0,1260.5,1272.9,0,0,1,0,2,3800,SPXW240301P03800000,0.05,0.025,0,0.05,1,1.1973,-0.0003,0,3865
Fri Mar 01 2024,SPXW240301C03850000,0,0,1210.5,1222.9,0,1.6247,1,0,0,3850,SPXW240301P03850000,0.1,0,0,0.05,0,1.1461,-0.0004,0,1177
